date,articles,writers,cursor,recorded_at_jst
2026-06-15,5599,383,186,2026-06-15 21:50
2026-06-16,6352,442,33,2026-06-16 09:26
2026-06-17,6568,443,92,2026-06-17 09:12
2026-06-18,6756,446,18,2026-06-18 09:13
2026-06-19,7218,471,79,2026-06-19 09:22
2026-06-20,7399,471,267,2026-06-20 09:04
2026-06-21,7634,471,401,2026-06-21 09:02
2026-06-22,11458,939,77,2026-06-22 09:06
2026-06-23,19514,995,327,2026-06-23 09:01
2026-06-24,20235,999,133,2026-06-24 08:52
2026-06-25,20362,999,261,2026-06-25 09:04
2026-06-26,20754,1007,157,2026-06-26 09:05
2026-06-27,22024,1136,35,2026-06-27 09:00
2026-06-28,22230,1137,358,2026-06-28 08:57
2026-06-29,22416,1137,569,2026-06-29 09:03
